make,model,variant,year,heavy_duty_part,extra_heavy_duty_part,premium_part,agm_efb_part,comments,reg_required,page,provenance,confidence
CHERY,J1,All variants,2011 onward,3554,,2135,5526,Some fit 3554; some fit 2135.,,37,original-transcription,guide
CHERY,J11,All variants,2011 onward,4503,,,,,,37,original-transcription,guide
CHERY,J3,All variants,2011 onward,3554,,,,,,37,original-transcription,guide
CHEVROLET,BEL AIR,All variants,1960 to 1981,4503,,,,,,37,original-transcription,guide
CHEVROLET,C20,All variants,1960 to 1981,4503,,,,,,37,original-transcription,guide
CHEVROLET,C30,All variants,1960 to 1981,4503,,,,,,37,original-transcription,guide
CHEVROLET,CAMARO,All variants,1960 to 1981,4503,,,,,,37,original-transcription,guide
CHEVROLET,CAMARO,"V8, 6.2L, Petrol",2018 onward,,,,5536,,,37,original-transcription,guide
CHEVROLET,CORVETTE,All variants,1960 to 1981,4503,,,,,,37,original-transcription,guide
CHEVROLET,IMPALA,All variants,1960 to 1981,4503,,,,,,37,original-transcription,guide
CHRYSLER,300,C,2005 to 2012,,5372,3772,5556,Battery in boot.,,38,original-transcription,guide
CHRYSLER,300,Limited; LX,2012 onward,,,3884,5556,Battery in boot.,,38,original-transcription,guide
CHRYSLER,300,"C, S, SRT",2012 onward,,,3772,5556,Battery in boot.,,38,original-transcription,guide
CHRYSLER,750KG,Ute,1971 to 1978,,2502,2542,5556,Battery in boot.,,38,original-transcription,guide
CHRYSLER,CENTURA,All variants,1975 to 1978,,2502,,2542,,,38,original-transcription,guide
CHRYSLER,CHARGER,All variants,1971 to 1978,,2502,,2542,,,38,original-transcription,guide
CHRYSLER,CHRYSLER,All variants,1971 to 1976,,2502,,2542,,,38,original-transcription,guide
CHRYSLER,CROSSFIRE,All variants,2003 to 2009,,3664,,2542,,,38,original-transcription,guide
CHRYSLER,DODGE,All variants,1967 to 1969,,2502,,2542,,,38,original-transcription,guide
CHRYSLER,GALANT,All variants,1971 to 1977,,2502,,2135,,,38,original-transcription,guide
CHRYSLER,GRAND VOYAGER,GS,1997 to 2001,,,3665,,,,38,original-transcription,guide
CHRYSLER,GRAND VOYAGER,RG,2001 to 2004,,,3665,,,,38,original-transcription,guide
CHRYSLER,GRAND VOYAGER,RG Upgrade,2004 to 2008,,,3662,,,,38,original-transcription,guide
CHRYSLER,GRAND VOYAGER,RT; Diesel,2008 to 2011,,,4503,1020,Must use Spiral AGM.,,38,original-transcription,guide
CHRYSLER,GRAND VOYAGER,RT; Petrol,2011 onward,,,2136,5556,Must use AGM.,,38,original-transcription,guide
CHRYSLER,LANCER,All variants,1974 to 1981,,3372,,3551,,,38,original-transcription,guide
CHRYSLER,NEON,All variants,1996 to 1999,,3554,,3552,,,38,original-transcription,guide
CHRYSLER,NEON,All variants,2000 to 2002,,2502,,2542,,,38,original-transcription,guide
CHRYSLER,PT CRUISER,All variants,2000 to 2010,,3554,3552,5526,Battery under Air Filter.,,38,original-transcription,guide
CHRYSLER,REGAL,V6,1963 to 1981,,2502,,2542,,,38,original-transcription,guide
CHRYSLER,REGAL,V8,1963 to 1981,,2502,,2542,,,38,original-transcription,guide
CHRYSLER,ROYAL,All variants,1960 to 1963,,5375,,2541,,,38,original-transcription,guide
CHRYSLER,SEBRING,All variants,2007 onward,,2502,2542,5536,Workshop fitment; battery under front guard.,,38,original-transcription,guide
CHRYSLER,TRUCK,Grey import,2014 to 2018,,3664,,3772,2 x 3664 in engine bay required.,,38,original-transcription,guide
CHRYSLER,VALIANT,All variants,1962 to 1981,,2502,,2542,,,38,original-transcription,guide
CHRYSLER,VIPER,All variants,2002 to 2003,,2502,,3665,,,38,original-transcription,guide
CITROEN,AX,All variants,1991 to 1993,,5344,3662,5526,,,39,original-transcription,guide
CITROEN,BERLINGO,1.4L Petrol,1999 to 2003,,5344,3554,5526,,,39,original-transcription,guide
CITROEN,BERLINGO,1.4L Petrol,2003 to 2010,,5344,3554,5526,,,39,original-transcription,guide
CITROEN,BERLINGO,1.6L Diesel,2003 to 2010,,,3664,5536,,,39,original-transcription,guide
CITROEN,BERLINGO,1.6L Diesel,2009 onward,,,3664,5536,,,39,original-transcription,guide
CITROEN,BERLINGO,1.6L Petrol,2009 onward,3554,3664,5536,5526,,,39,original-transcription,guide
CITROEN,BX,1,1986 to 1994,,2502,2541,5536,Check height clearance; variants with battery under headlight require Workshop fitment.,,39,original-transcription,guide
CITROEN,BX,16,1986 to 1994,,3554,3664,5526,Check height clearance; variants with battery under headlight require Workshop fitment.,,39,original-transcription,guide
CITROEN,BX,19,1986 to 1994,3372,5344,4526,,Check height clearance; variants with battery under headlight require Workshop fitment.,,39,original-transcription,guide
CITROEN,C2,All variants,2004 to 2008,3554,,,,,,39,original-transcription,guide
CITROEN,C3,HDI; Diesel,2002 to 2009,,3554,3554,5526,,,39,original-transcription,guide
CITROEN,C3,Petrol,2002 to 2009,3372,,4344,3554,,,39,original-transcription,guide
CITROEN,C3,A5; Petrol,2010 to 2013,,3554,3554,5526,,,39,original-transcription,guide
CITROEN,C3,A5; Diesel,2010 to 2013,3372,,,,,,39,original-transcription,guide
CITROEN,C3,"A5 upgrade, 1.2L, Petrol",2013 to 2015,,5344,3155,5536,,,39,original-transcription,guide
CITROEN,C3,"A5 upgrade, 1.6L, Petrol",2013 to 2015,,5344,3155,5536,,,39,original-transcription,guide
CITROEN,C3,All variants,2017 onward,,,,4036,,,39,original-transcription,guide
CITROEN,C4,"1.6L, Petrol",2005 to 2011,,5344,3554,5526,Some variants do not need registration.,Yes,39,original-transcription,guide
CITROEN,C4,"1.6L, HDi; Diesel",2005 to 2011,,5344,3554,5526,Some variants do not need registration.,Yes,39,original-transcription,guide
CITROEN,C4,"2.0L, Petrol",2005 to 2011,,3554,3554,5526,Some variants do not need registration.,Yes,39,original-transcription,guide
CITROEN,C4,"2.0L, HDi; Diesel",2005 to 2011,,,3664,5536,Stop Start; must use AGM.,Yes,39,original-transcription,guide
CITROEN,C4,"B7, 1.6L, Diesel",2011 to 2015,,,3664,5536,Stop Start; must use AGM.,Yes,39,original-transcription,guide
CITROEN,C4,"B7, 1.6L, Petrol",2011 to 2015,,,3554,5536,Stop Start; must use AGM.,Yes,39,original-transcription,guide
CITROEN,C4,"B7, 1.2L, Petrol",2015 onward,,,2544,5536,Stop Start; must use AGM.,Yes,39,original-transcription,guide
CITROEN,C4 AIRCROSS,10M,2012 to 2014,,,3664,5536,,,39,original-transcription,guide
CITROEN,C4 CACTUS,All variants,2016 onward,,,,5536,,,39,original-transcription,guide
CITROEN,C4 GRAND PICASSO,All variants,2013 to 2014,,,3664,5536,,,40,original-transcription,guide
CITROEN,C4 GRAND PICASSO,All variants,2007 to 2016,,,3664,5536,,,40,original-transcription,guide
CITROEN,C4 PICASSO,Petrol,2007 to 2016,,,3554,5526,,,40,original-transcription,guide
CITROEN,C4 PICASSO,Diesel,2001 to 2008,,,3664,5536,,,40,original-transcription,guide
CITROEN,C5,"2.0L, Petrol",2001 to 2008,,,3554,5526,,,40,original-transcription,guide
CITROEN,C5,"V6, Petrol",2001 to 2008,,,3664,5536,,,40,original-transcription,guide
CITROEN,C5,Diesel,2001 to 2008,,,3664,5536,,,40,original-transcription,guide
CITROEN,C5,"X7, Diesel",2008 onward,,,3554,5526,,,40,original-transcription,guide
CITROEN,C5,"X7, Petrol",2008 onward,,,3664,5556,,,40,original-transcription,guide
CITROEN,C6,"3.0L HDi, Diesel",2006 to 2013,,,3554,5556,,,40,original-transcription,guide
CITROEN,C6,"HDI, 2.7L, Diesel",2006 to 2013,,3554,3888,5556,,,40,original-transcription,guide
CITROEN,C6,"V6, Petrol",2006 to 2013,,,3122,5536,,,40,original-transcription,guide
CITROEN,CX,All variants,1976 to 1985,,2502,2542,5536,,,40,original-transcription,guide
CITROEN,DISPATCH,"25IE, 25GTi",1984 to 1985,,,3372,5536,,,40,original-transcription,guide
CITROEN,DS3,All variants,2010 onward,,,3554,5526,,,40,original-transcription,guide
CITROEN,DS3,All variants,2012 onward,,,3122,5536,,,40,original-transcription,guide
CITROEN,DS4,All variants,2011 onward,,,3122,5536,,,40,original-transcription,guide
CITROEN,DS5,All variants,2012 onward,,3122,3664,5556,,,40,original-transcription,guide
CITROEN,G,All variants,1975 to 1976,,,3552,5536,Check height clearance; variants with battery under headlight require Workshop fitment.,,40,original-transcription,guide
CITROEN,GS,All variants,1972 to 1978,,,3552,5536,Check height clearance; variants with battery under headlight require Workshop fitment.,,40,original-transcription,guide
CITROEN,XANTIA,Series 1,1994 to 1998,,3554,3664,5526,Check height clearance; variants with battery under headlight require Workshop fitment.,,40,original-transcription,guide
CITROEN,XANTIA,Series 2,1998 to 2001,,3554,3664,5526,Check height clearance; variants with battery under headlight require Workshop fitment.,,40,original-transcription,guide
CITROEN,XM,All variants,1991 to 2000,,3554,3664,5526,,,40,original-transcription,guide
CITROEN,XSARA,All variants,1998 to 2005,,,3554,5526,,,40,original-transcription,guide
DAEWOO,CIELO,All variants,1995 to 1998,,2502,,2542,,,41,original-transcription,guide
DAEWOO,ESPERO,All variants,1995 to 1997,,3552,,2541,,,41,original-transcription,guide
DAEWOO,KALOS,All variants,2003 to 2004,2501,4703,2541,5593,,,41,original-transcription,guide
DAEWOO,KORANDO,All variants,1998 to 2000,4503,4703,2541,,,,41,original-transcription,guide
DAEWOO,LACETTI,All variants,2003 to 2004,,2501,,2541,,,41,original-transcription,guide
DAEWOO,LANOS,All variants,1997 to 2003,,5375,,2541,,,41,original-transcription,guide
DAEWOO,LEGANZA,All variants,1997 to 2003,2501,5375,2541,,,,41,original-transcription,guide
DAEWOO,MATIZ,All variants,2000 to 2002,,2501,,2383,,,41,original-transcription,guide
DAEWOO,MUSSO,All variants,1998 to 2002,4503,4703,2541,5593,,,41,original-transcription,guide
DAEWOO,NUBIRA,All variants,1997 to 2003,2501,5375,2541,,,,41,original-transcription,guide
DAEWOO,TACUMA,All variants,2000 to 2004,,5375,,2541,,,41,original-transcription,guide
DAIHATSU,1000,All variants,1967 to 1968,,,2384,,,,41,original-transcription,guide
DAIHATSU,360X,Fellow Max,1971 to 1973,,,2384,,,,41,original-transcription,guide
DAIHATSU,APPLAUSE,A101,1989 to 1998,,2383,2382,,,,41,original-transcription,guide
DAIHATSU,APPLAUSE,A101B,1998 to 1999,,,2384,,,,41,original-transcription,guide
DAIHATSU,CC,(Charade),1985 to 1986,,2383,2382,,,,41,original-transcription,guide
DAIHATSU,CHARADE,G10,1980 to 1982,,2383,2384,,,,41,original-transcription,guide
DAIHATSU,CHARADE,G10 Series 2,1982 to 1983,,2383,2384,,,,41,original-transcription,guide
DAIHATSU,CHARADE,G11; G100; G200,1983 to 1996,,2383,2384,,,,41,original-transcription,guide
DAIHATSU,CHARADE,G200B,1996 to 2000,,,2138,,,,41,original-transcription,guide
DAIHATSU,CHARADE,L251S,2003 to 2005,,,2138,,,,41,original-transcription,guide
DAIHATSU,COMPAGNO,All variants,1964 to 1970,,,2138,,,,41,original-transcription,guide
DAIHATSU,COPEN,All variants,2003 to 2005,,,2384,,,,41,original-transcription,guide
DAIHATSU,CUORE,All variants,2000 to 2003,,,2384,,,,42,original-transcription,guide
DAIHATSU,DELTA,Diesel,1977 to 1993,,5375,,2383,Requires 2 batteries.,,42,original-transcription,guide
DAIHATSU,DELTA,Petrol,1977 to 1993,,,2383,,,,42,original-transcription,guide
DAIHATSU,DELTA,Twin Cab,1994 to 2006,,,2384,,,,42,original-transcription,guide
DAIHATSU,DELTA,Petrol,1994 to 2006,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,DELTA,Diesel,1994 to 2006,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,DELTA,Twin Cab,1983 to 1984,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,F20,Taft,1978 to 1982,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,F25,Taft,1980 to 1982,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,F50,Taft,1983 to 1984,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,F55,Taft,1983 to 1984,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,F60,Taft,1983 to 1984,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,F65,Taft,1983 to 1984,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,FEROZA,Series 1,1989 to 1993,,2383,2384,,,,42,original-transcription,guide
DAIHATSU,FEROZA,Series 2,1993 to 1999,,2383,2384,,,,42,original-transcription,guide
DAIHATSU,HANDI,All variants,1981 to 2002,,2383,2384,,,,42,original-transcription,guide
DAIHATSU,HI-JET,All variants,1977 to 1990,,,2384,,,,42,original-transcription,guide
DAIHATSU,MIRA,All variants,1990 to 1994,,,2384,,,,42,original-transcription,guide
DAIHATSU,MIRA,All variants,1994 to 1995,,,2384,,,,42,original-transcription,guide
DAIHATSU,MOVE,All variants,1997 to 2000,,,2384,,,,42,original-transcription,guide
DAIHATSU,PYZAR,All variants,1997 to 1999,,4862,,2384,,,42,original-transcription,guide
DAIHATSU,ROCKY,Diesel,1984 to 1999,,,2383,,,,42,original-transcription,guide
DAIHATSU,ROCKY,Petrol,1984 to 1999,,,2383,,,,42,original-transcription,guide
DAIHATSU,S60,Sparcar,1979 to 1981,,,2135,,,,42,original-transcription,guide
DAIHATSU,S65,Hijet,1981 to 1982,,,2385,,,,42,original-transcription,guide
DAIHATSU,SIRION,Base Model,1998 to 2005,,,2384,,,,42,original-transcription,guide
DAIHATSU,SIRION,"Gti, Sport, SX",1998 to 2005,,2384,2135,,,,42,original-transcription,guide
DAIHATSU,TERIOS,All variants,1997 to 2005,,,2384,,,,42,original-transcription,guide
DAIHATSU,YRV,All variants,2001 to 2005,,,2384,,,,42,original-transcription,guide
DAIMLER,2.5 LITRE,All variants,1968 to 1979,4503,4703,2384,5593,,,43,original-transcription,guide
DAIMLER,250,All variants,1968 to 1970,4503,4703,2384,5593,,,43,original-transcription,guide
DAIMLER,DOUBLE SIX,All variants,1974 to 1988,,4503,,3888,,,43,original-transcription,guide
DAIMLER,DOUBLE SIX,All variants,1987 to 1997,,4503,3888,5593,,,43,original-transcription,guide
DAIMLER,DOUBLE SIX,All variants,1993 to 1997,4503,4703,3888,5593,,,43,original-transcription,guide
DAIMLER,SIX,All variants,1994 to 1997,4503,4703,3884,5593,,,43,original-transcription,guide
DAIMLER,SOVEREIGN,All variants,1968 to 1979,4503,4703,2384,5593,,,43,original-transcription,guide
DAIMLER,SOVEREIGN,All variants,1982 to 1987,4703,3884,5588,,,,43,original-transcription,guide
DAIMLER,SP250,All variants,1960 to 1964,4503,2541,5588,,,,43,original-transcription,guide
DAIMLER,SUPER V8,All variants,1997 to 2003,4703,3884,5588,,,,43,original-transcription,guide
DAIMLER,V8,All variants,1997 to 2003,4703,3884,5588,,,,43,original-transcription,guide
DAIMLER,VANDEN PLAS,All variants,1982 onward,,3884,5588,,,,43,original-transcription,guide
DATSUN,1000,All variants,1967 to 1971,,4503,,2384,,,43,original-transcription,guide
DATSUN,1200,All variants,1970 to 1985,,4503,5375,2134,,,43,original-transcription,guide
DATSUN,120Y,All variants,1974 to 1979,5375,,2134,,,,43,original-transcription,guide
DATSUN,1300,All variants,1965 to 1968,2501,,2541,,,,43,original-transcription,guide
DATSUN,1600,All variants,1969 to 1970,2501,,2541,,,,43,original-transcription,guide
DATSUN,1800,All variants,1966 to 1970,2501,,2541,,,,43,original-transcription,guide
DATSUN,180B,All variants,1972 to 1978,5375,,2541,,,,43,original-transcription,guide
DATSUN,2000,All variants,1966 to 1970,2501,,2541,,,,43,original-transcription,guide
DATSUN,200B,All variants,1977 to 1981,5375,,2541,,,,43,original-transcription,guide
DATSUN,2300,All variants,1970 to 1971,2501,,2541,,,,43,original-transcription,guide
DATSUN,2400,All variants,1970 to 1971,2501,,2541,,,,43,original-transcription,guide
DATSUN,240C,All variants,1970 to 1978,5375,,2541,,,,43,original-transcription,guide
DATSUN,240K,All variants,1970 to 1978,5375,,2541,,,,43,original-transcription,guide
DATSUN,240Z,All variants,1970 to 1978,5375,,2541,,,,43,original-transcription,guide
DATSUN,260C,All variants,1973 to 1978,2501,,2541,,,,43,original-transcription,guide
DATSUN,260Z,All variants,1973 to 1978,5375,,2541,,,,43,original-transcription,guide
DATSUN,280C,All variants,1978 to 1981,2501,,2541,,,,43,original-transcription,guide
DATSUN,520,All variants,1971 to 1972,,4503,,2384,,,43,original-transcription,guide
DATSUN,620,All variants,1972 to 1979,,4503,,2384,,,43,original-transcription,guide
DATSUN,BLUEBIRD,All variants,1960 to 1965,2502,,2542,,,,43,original-transcription,guide
DE TOMASO,DEAUVILLE,All variants,1973 to 1986,,4503,,2135,,,44,original-transcription,guide
DE TOMASO,LONGCHAMP,All variants,1973 to 1986,,4503,,2135,,,44,original-transcription,guide
DE TOMASO,MANGUSTA,All variants,1968 to 1971,,4503,,2541,,,44,original-transcription,guide
DE TOMASO,PANTERA,All variants,1968 to 1971,,4503,,2541,,,44,original-transcription,guide
DE TOMASO,PANTERA,All variants,1973 to 1986,,4503,,2134,,,44,original-transcription,guide
DODGE,AVENGER,Diesel,2007 to 2010,,4505,,2541,,,44,original-transcription,guide
DODGE,AVENGER,Petrol,2007 to 2010,4505,2542,2542,,,,44,original-transcription,guide
DODGE,CALIBER,Diesel,2006 onward,,4505,,3541,"Workshop fitment, battery under front guard. Can fit 3554.",,44,original-transcription,guide
DODGE,CALIBER,Petrol,2006 onward,,4505,,3541,"Workshop fitment, battery under front guard. Can fit 3554.",,44,original-transcription,guide
DODGE,JOURNEY,Diesel,2008 onward,,5375,,3541,"Workshop fitment, battery under front guard.",,44,original-transcription,guide
DODGE,JOURNEY,Petrol,2008 onward,,5375,,3541,"Workshop fitment, battery under front guard.",,44,original-transcription,guide
DODGE,NITRO,Diesel,2007 to 2012,,4505,,2541,,,44,original-transcription,guide
DODGE,NITRO,Petrol,2007 to 2012,,4505,,2541,,,44,original-transcription,guide
DODGE,PHOENIX,All variants,1960 to 1972,,2501,2541,5556,,,44,original-transcription,guide
DODGE,RAM,Grey import,1994 to 2015,,,2332,,Some variants use AGM.,,44,original-transcription,guide
DODGE,RAM,Grey import,2015 onward,,,3772,5556,Dual battery - refer to MasterFit. Auxiliary 3662 - refer to workshop.,,44,original-transcription,guide
EUNOS,30,All variants,1992 to 1996,,2502,3552,5582,3552 can replace 2582.,,44,original-transcription,guide
EUNOS,500,All variants,1992 to 1996,,4504,,2542,,,44,original-transcription,guide
EUNOS,800,All variants,1992 to 1996,,4504,,2542,,,44,original-transcription,guide
EUNOS,800,All variants,1992 to 1996,,4504,3552,5582,3552 can replace 2582.,,45,original-transcription,guide
FERRARI,275,All variants,1964 to 1968,4503,4703,2541,,,,45,original-transcription,guide
FERRARI,308,All variants,1975 to 1986,4503,4703,2541,5556,,,45,original-transcription,guide
FERRARI,330,All variants,1964 to 1969,4503,4703,2541,,,,45,original-transcription,guide
FERRARI,348,All variants,1990 to 1994,3664,,2541,,,,45,original-transcription,guide
FERRARI,360,All variants,1999 to 2005,,4503,,3662,,,45,original-transcription,guide
FERRARI,400,All variants,1975 to 1985,4503,4703,2541,5536,,,45,original-transcription,guide
FERRARI,456,,1994 to 2005,3664,,2541,,,,45,original-transcription,guide
FERRARI,488,,2016 onward,,,,5536,"Workshop fitment, battery under front guard.",,45,original-transcription,guide
FERRARI,500,All variants,2010 onward,,,3664,5536,,,45,original-transcription,guide
FERRARI,512,All variants,1978 to 1985,4503,4703,2541,5536,,,45,original-transcription,guide
FERRARI,512,All variants,1993 to 1995,3664,,4662,5536,,,45,original-transcription,guide
FERRARI,550,All variants,1997 to 2002,3664,,4662,5536,,,45,original-transcription,guide
FERRARI,575M,All variants,2002 to 2005,3664,,3662,5536,"Workshop fitment, battery under front guard.",,45,original-transcription,guide
FERRARI,599,All variants,2006 to 2011,3664,,3662,5536,"Workshop fitment, battery under front guard.",,45,original-transcription,guide
FERRARI,612,All variants,2005 to 2011,3664,,3662,5536,"Workshop fitment, battery under front guard.",,45,original-transcription,guide
FERRARI,CALIFORNIA,All variants,2009 onward,3664,,3662,5536,"Workshop fitment, battery under front guard.",,45,original-transcription,guide
FERRARI,DINO,All variants,1967 to 1981,2501,,2541,5536,Difficult fitment. Refer to Workshop.,,45,original-transcription,guide
FERRARI,F12,All variants,2013 onward,3664,,3541,5536,"Workshop fitment, battery under front guard.",,45,original-transcription,guide
FERRARI,F355,All variants,1995 to 1997,,2502,3554,5536,Must use AGM.,,45,original-transcription,guide
FERRARI,F430,All variants,2005 to 2010,3664,,3662,5536,"Workshop fitment, battery under passenger foot rest.",,45,original-transcription,guide
FERRARI,F50,All variants,1995 to 1997,2502,5375,2541,5536,"Workshop fitment, battery under front guard.",,45,original-transcription,guide
FERRARI,F512M,All variants,1995 to 1997,3664,,3662,5536,,,45,original-transcription,guide
FERRARI,MONDIAL,All variants,1981 to 1994,3664,,3664,5536,,,45,original-transcription,guide
FERRARI,SUPERAMERICA,All variants,2005 to 2006,3664,,3664,5536,,,45,original-transcription,guide
FIAT,1100,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,124,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,125,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,127,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,128,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,130,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,131,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,132,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,1500,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,1800,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,2300,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,500,Diesel,2008 to 2012,5344,,2541,5536,Stop Start.,,46,original-transcription,guide
FIAT,500,All variants,2012 onward,5344,,2541,5536,,,46,original-transcription,guide
FIAT,500,"1.2L, 1.4L, Petrol, Non-Stop Start",2008 to 2012,5344,,2541,5536,,,46,original-transcription,guide
FIAT,500,"1.2L, 1.4L, Petrol, Stop Start",2012 onward,,,,4026,"Stop Start, must use EFB.",,46,original-transcription,guide
FIAT,500,"Twin Air, 0.9L, Petrol",2012 onward,,,,4026,"Stop Start, must use EFB.",,46,original-transcription,guide
FIAT,600,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,850,All variants,1960 to 1982,5375,,2541,5536,,,46,original-transcription,guide
FIAT,ARGENTA,All variants,1983 to 1985,5375,,2541,5536,,,46,original-transcription,guide
FIAT,CROMA,All variants,1988 to 1989,3372,,3552,5536,,,46,original-transcription,guide
FIAT,DOBLO,All variants,2014 onward,3664,,3884,5536,,,46,original-transcription,guide
FIAT,DUCATO,All variants,1993 to 2006,4505,,2541,5566,"Battery under front guard, refer to Workshop. Some require Optima battery.",,46,original-transcription,guide
FIAT,DUCATO,All variants,2006 onward,4505,,2541,5566,"Battery under front guard, refer to Workshop. Some require Optima battery.",,46,original-transcription,guide
FIAT,FREEMONT,Diesel,2013 onward,4503,,2541,4026,"Workshop fitment, battery under front guard. Stop Start, must use EFB.",,46,original-transcription,guide
FIAT,FREEMONT,Petrol,2013 onward,5375,,2541,4026,"Workshop fitment, battery under front guard. Stop Start, must use EFB.",,46,original-transcription,guide
FIAT,PANDA,"Easy, Petrol, Stop Start",2013 onward,2541,,,,,,46,original-transcription,guide
FIAT,PANDA,"Lounge, Petrol",2013 onward,3554,,2541,,,,46,original-transcription,guide
FIAT,PANDA,"Pop, Petrol",2013 onward,3554,,2541,,,,46,original-transcription,guide
FIAT,PANDA,"Easy, Petrol, Stop Start",2013 onward,2541,,,,,,47,original-transcription,guide
FIAT,PANDA,"Lounge, Petrol",2013 onward,3554,,2541,,,,47,original-transcription,guide
FIAT,PANDA,"Pop, Petrol",2013 onward,3554,,2541,,,,47,original-transcription,guide
FIAT,PANORAMA,All variants,1960 to 1982,2501,,2541,,,,47,original-transcription,guide
FIAT,PUNTO,All variants,2006 onward,,,2541,5526,Stop Start variants must use EFB.,,47,original-transcription,guide
FIAT,PUNTO,"Sport, 5Door, Petrol",2006 to 2010,,3554,,3552,,,47,original-transcription,guide
FIAT,PUNTO,"5Door, Petrol",2009 to 2013,,3554,,3552,,,47,original-transcription,guide
FIAT,PUNTO,"3Door, Petrol",2006 to 2010,,3554,3552,5526,,,47,original-transcription,guide
FIAT,PUNTO,"3Door, Diesel",2006 to 2010,,5344,3552,5526,,,47,original-transcription,guide
FIAT,PUNTO,All variants,2013 onward,,,2541,5526,Stop Start variants must use EFB.,,47,original-transcription,guide
FIAT,REGATA,All variants,1985 to 1989,5344,3664,5344,,,,47,original-transcription,guide
FIAT,RITMO,All variants,2008 to 2010,3664,,3552,5536,,,47,original-transcription,guide
FIAT,SCUDO,All variants,2008 onward,,,3552,5536,Battery under driver's side floor.,,47,original-transcription,guide
FIAT,SUPERBRAVA,All variants,1981 to 1985,5375,,2541,,,,47,original-transcription,guide
FIAT,X1/9,All variants,1960 to 1983,5375,,2541,5593,,,47,original-transcription,guide
FORD,ANGLIA,All variants,1960 to 1965,2502,,2134,,,,47,original-transcription,guide
FORD,BRONCO,All variants,1981 to 1984,2502,,2542,,,,47,original-transcription,guide
FORD,CAPRI,1.6L 4 Cyl,1969 to 1974,2502,3122,2134,5593,,,47,original-transcription,guide
FORD,CAPRI,"3.0L, V6",1969 to 1974,2502,3122,2542,5593,,,47,original-transcription,guide
FORD,CAPRI,"SA, SA2",1989 to 1992,2502,,2542,,,,47,original-transcription,guide
FORD,CORSAIR,All variants,1963 to 1971,2502,,2134,,,,47,original-transcription,guide
FORD,CORTINA,TC,1971 to 1974,2502,,2542,,,,47,original-transcription,guide
FORD,CORTINA,"TD, TE, TF",1974 to 1982,2502,,2542,,,,47,original-transcription,guide
FORD,COUGAR,All variants,1999 to 2004,4703,,3662,5593,Also refer Ford KUGA.,,47,original-transcription,guide
FORD,COURIER,Diesel,1978 to 1985,2383,,2383,,,,47,original-transcription,guide
FORD,COURIER,Petrol,1978 to 1985,2383,,2383,,,,47,original-transcription,guide
FORD,COURIER,"2.0L, 2.2L, Petrol",1985 to 1999,5375,,2542,,,,47,original-transcription,guide
FORD,COURIER,"2.6L, Petrol",1985 to 1999,2502,,2542,,,,47,original-transcription,guide
FORD,COURIER,Diesel,1985 to 1999,4703,,2382,,,,47,original-transcription,guide
FORD,COURIER,"PE, Diesel",1999 to 2002,4703,,2134,5593,,,48,original-transcription,guide
FORD,COURIER,"PE, Petrol",1999 to 2002,5375,4703,2541,5593,,,48,original-transcription,guide
FORD,COURIER,"PG, Diesel",2002 to 2004,4703,,2541,5593,,,48,original-transcription,guide
FORD,COURIER,"PG, Petrol",2002 to 2004,5375,4703,2541,5593,,,48,original-transcription,guide
FORD,COURIER,"PH, Diesel",2004 to 2006,4703,,2541,5593,,,48,original-transcription,guide
FORD,COURIER,"PH, Petrol",2004 to 2006,5375,4703,2541,5593,,,48,original-transcription,guide
FORD,COURIER,"PH, V6, Petrol",2004 to 2006,4703,,3552,,,,48,original-transcription,guide
FORD,ECONOVAN,"1.4L, 1.6L, Petrol",1977 to 1984,,,2384,5593,,,48,original-transcription,guide
FORD,ECONOVAN,Petrol,1977 to 1984,,2384,5573,,,,48,original-transcription,guide
FORD,ECONOVAN,Diesel,1984 to 2000,4703,,2544,5593,,,48,original-transcription,guide
FORD,ECONOVAN,Petrol,1984 to 2000,,,2384,5593,,,48,original-transcription,guide
FORD,ECONOVAN,JH,1997 to 2000,,,2384,5593,,,48,original-transcription,guide
