claim_id,make,model,series,year_from,year_to,engine_trim,fuel,stop_start,battery_type,source_code,standard_code,terminal_layout,cca_min,source_guide,source_year,confidence,notes
SC2019-0460,FORD,Bronco,,1981,1989,,,,,MF52,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0461,FORD,Capri,,1989,1992,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0462,FORD,Capri,,1992,1994,,,,,MF52,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0463,FORD,Corsair,,1989,1991,,,,,MF52,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0464,FORD,Cortina 4 Cycl,,1962,1974,,,,,MF43,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0465,FORD,"Cortina 4 Cycl, 6 Cycl",,1975,1982,,,,,MF51,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0466,FORD,Cougar,,2000,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0467,FORD,Courier Crew Cab (Diesel),,1986,1994,,,,,MF95D31R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0468,FORD,Courier Crew Cab (Petrol),,1986,1994,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0469,FORD,Courier Crew Cab (Petrol),,1995,,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0470,FORD,"Courier - PE, PG, PH Diesel",,1998,,,,,,MF95D31R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0471,FORD,"Courier - PE, PG, PH Petrol",,1998,,,,,,MF75D23R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0472,FORD,Courier Twin Cab,,1999,,,,,,MF95D31L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0473,FORD,Courier XL,,2003,,,,,,MF75D23R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0474,FORD,Courier V6 Petrol,,2005,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0475,FORD,Courier V6 4.0L (South Africa),,2005,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0476,FORD,Courier - 2.6L (Japan),,1991,1999,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0477,FORD,Econovan JG Petrol,,1997,1998,,,,,MF40B20L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0478,FORD,Econovan Maxi,,1997,1998,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0479,FORD,Econovan Maxi (Diesel),,1985,1987,,,,,MF95D31R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0480,FORD,Econovan Maxi (Petrol),,1985,1992,,,,,MF40B20L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0481,FORD,Econovan Maxi (Petrol),,2003,2006,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0482,FORD,Ecosport,,2013,,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0483,FORD,Endura,,2018,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0484,FORD,Escape,,2001,2006,,,,,MF80D26L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0485,FORD,Escape XLT,,2006,,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0486,FORD,Escort,,1975,1979,,,,,MF51,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0487,FORD,Everest,,2015,,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0488,FORD,Expedition,,1998,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0489,FORD,Explorer,,1996,,,,,,MF65,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0490,FORD,"F100, F150, F250, F350",,1974,1994,,,,,MF52,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0491,FORD,"F250, F350 Diesel (2 X BATTERIES)",,2001,2007,,,,,MF65,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0492,FORD,"Falcon, Fairlane, LTD (XK-EA)",,1961,1991,,,,,MF52,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0493,FORD,"Falcon, Fairlane, LTD (EB-ED)",,1991,1994,,,,,MF51,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0494,FORD,"Falcon, Fairlane, LTD (EF-FG)",,1997,,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0495,FORD,"F6, F6 Typhoon, F6 Tornado",,2005,,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0496,FORD,Festiva - WA,,1991,1993,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0497,FORD,Festiva - WB,,1994,1996,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0498,FORD,"Festiva - WD, WF",,1997,,,,,,MF50D20L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0499,FORD,"Fiesta - WP, WQ",,2004,2008,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0500,FORD,"Fiesta - WS, WT",,2007,2012,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0501,FORD,Fiesta B299 5 Door,,2012,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0502,FORD,"Focus - 2L, 1.8L, 1.6L",,2002,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0503,FORD,Focus - ST 170,,2002,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0504,FORD,"Focus - XR5, ST turbo",,2006,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0505,FORD,Focus - Diesel,,2007,2009,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0506,FORD,Focus - Diesel,,2009,,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0507,FORD,GT4 MK3,,0,,,,,,MF66R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0508,FORD,KA,,1999,2003,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0509,FORD,Kuga,,2012,,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0510,FORD,Kuga Diesel 2.0DT,,2014,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0511,FORD,Kuga Petrol 1.6T Ambiente Manual,,2013,2014,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0512,FORD,Kuga Petrol 1.5T Ambiente EcoBoost,,2014,,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0513,FORD,Laser KA-KF,,1981,1991,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0514,FORD,"Laser - KH, KJ, Lynx, Liata",,1991,1996,,,,,MF51,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0515,FORD,"Laser - KL, KN, KQ, Liata",,1996,,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0516,FORD,Maverick (Diesel),,1989,1993,,,,,MF95D31L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0517,FORD,Maverick (Petrol),,1989,1993,,,,,MF80D26L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0518,FORD,Meteor,,1982,1987,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0519,FORD,"Mondeo - 1.8L, 2.0L",,1995,2001,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0520,FORD,Mondeo,,2007,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0521,FORD,Mondeo - Diesel,,2007,,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0522,FORD,Mondeo - 2.3L Petrol,,2011,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0523,FORD,Mondeo - Duratech 2.5L Petrol,,2011,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0524,FORD,Mustang,,2002,,,,,,MF58,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0525,FORD,Mustang,,2015,,,,,,MF58,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0526,FORD,Probe,,1994,1997,,,,,MF58,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0527,FORD,Puma,,0,,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0528,FORD,Raider,,1991,1997,,,,,MF51,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0529,FORD,"Ranger - PJ, PK, 2.5L, 3.0L",,2007,2011,,,,,MF95D31R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0530,FORD,Ranger - PX 3.2L,,2011,,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0531,FORD,Ranger 2.2DT Manual PX Mkll,,2015,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0532,FORD,Ranger 3.2DT Manual PX MKll,,2015,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0533,FORD,Sierra,,1991,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0534,FORD,Spectron,,1983,1995,,,,,MF40B20L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0535,FORD,Taurus,,1996,1998,,,,,MF58,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0536,FORD,Taurus Thunderbird,,1996,1998,,,,,MF65,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0537,FORD,Telstar - 4Cyl,,1983,1991,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0538,FORD,"Telstar - AX, AY 6Cyl",,1992,,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0539,FORD,Territory - All Models,,2004,,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0540,FORD,Territory Diesel,,2011,,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0541,FORD,Trader D49,,1997,,,,,,MF80D26R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0542,FORD,Transit Van 2.05 Ltr. Diesel,,1994,1997,,,,,MF58,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0543,FORD,Transit Van 2.05 Ltr. Diesel/Petrol,,1997,2000,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0544,FORD,Transit Van 4 Cyl,,1991,1995,,,,,MF43,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0545,FORD,Transit Van Diesel,,2000,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0546,1960-1966,Zephyr,,1960,1966,,,,,MF43,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0547,FORD PERFORMANCE VEHICLES,"GT, GT-P,  GTP, Pursuit",,2003,,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0548,FORD PERFORMANCE VEHICLES,GTE,,2005,2008,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0549,GREAT WALL,C1,,2011,2011,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0550,GREAT WALL,VX1,,2011,2011,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0551,GREAT WALL,SA22,,2009,2009,,,,,MF75D23R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0552,GREAT WALL,V2,,2010,2010,,,,,MF95D31L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0553,GREAT WALL,V24,,2009,2009,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0554,GREAT WALL,X2 2.0 Diesel,,2010,2010,,,,,MF80D26R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0555,GREAT WALL,X24,,2010,2010,,,,,MF80D26R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0556,HAVAL,H2,,2015,,,,,,MF55HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0557,HAVAL,H2 Conventional,,2015,,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0558,HAVAL,H6,,2015,,,,,,MF80D26L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0559,HAVAL,H8,,2015,,,,,,MF77H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0560,HAVAL,H9,,2015,,,,,,MF80D26L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0561,HOLDEN,Acclaim,,1999,,,,,,MF53,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0562,HOLDEN,Acadia,,2018,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0563,HOLDEN,"Adventra AWD - Wagon - VY, VZ",,2004,,,,,,MF53,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0564,HOLDEN,Apollo,,1989,1992,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0565,HOLDEN,Apollo,,1993,1997,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0566,HOLDEN,Astra,,1984,1989,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0567,HOLDEN,Astra,,1994,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0568,HOLDEN,Astra GTC 1.6L Manual PJ,,2015,,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0569,HOLDEN,Astra VXR 2.0L Manual PJ,,2015,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0570,HOLDEN,"Barina - MB, ML, MF, MH",,1985,1994,,,,,MF40B20ZAL,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0571,HOLDEN,Barina - SB,,1994,2001,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0572,HOLDEN,Barina - XC,,2001,2005,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0573,HOLDEN,Barina - TK,,2005,2011,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0574,HOLDEN,Barina,,2011,,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0575,HOLDEN,"Barina - Spark 1.2L, 1.25L",,2010,,,,,,MF44H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0576,HOLDEN,Calibra,,1991,1996,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0577,HOLDEN,"Camira - SL, SLE, SLX",,1987,1989,,,,,MF51,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0578,HOLDEN,"Caprice, Statesman - VQ-VS",,1990,1999,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0579,HOLDEN,"Caprice, Statesman - WH-WL",,1999,2006,,,,,MF53,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0580,HOLDEN,"Caprice, Statesman - WM,WN",,1996,,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0581,HOLDEN,Captiva - Petrol,,2006,2011,,,,,MF66HR,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0582,HOLDEN,Captiva - Diesel,,2007,2011,,,,,MF77HR,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0583,HOLDEN,Captiva - Petrol Series II 4Cyl,,2011,,,,,,MF66HR,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0584,HOLDEN,Captiva - Petrol Series II 6Cyl,,2011,,,,,,MF66HR,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0585,HOLDEN,Captiva - Diesel Series II,,2011,,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0586,HOLDEN,Captiva Petrol,,2014,,,,,,MF66HR,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0587,HOLDEN,Cascada 1.6T Convertible,,2015,,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0588,HOLDEN,Colorado RC - Diesel,,2008,2012,,,,,MF95D31L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0589,HOLDEN,Colorado RC - Petrol,,2008,2012,,,,,MF80D26R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0590,HOLDEN,Colorado RG - Diesel,,2012,,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0591,HOLDEN,Combo Van,,1996,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0592,HOLDEN,Commodore - VF,,2013,,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0593,HOLDEN,"Commodore - VE V6 Sedan, Sportswagon, Statesman (in boot)",,2006,2013,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0594,HOLDEN,"Commodore - VE V8 Sedan, Sportswagon, Statesman (in boot)",,2006,2013,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0595,HOLDEN,Commodore - VE V6 Ute (behind passenger seat),,2007,2013,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0596,HOLDEN,Commodore - VE V8 SS Ute,,2007,2013,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0597,HOLDEN,"Commodore - VE, VF Police Pack Auxillary Battery",,2006,2013,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0598,HOLDEN,"Commodore - VE, VF Extra Heavy-Duty",,2006,2013,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0599,HOLDEN,Commodore/Berlina/Calais/Monaro/Statesman  VT-VZ,,1997,2006,,,,,MF53,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0600,HOLDEN,Commodore/Berlina/Calais/Statesman VB-VS,,1978,1997,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0601,HOLDEN,Cruze AWD (Japan),,2002,2006,,,,,MF40B20L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0602,HOLDEN,Cruze - Petrol,,2009,2011,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0603,HOLDEN,Cruze - Diesel,,2009,2011,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0604,HOLDEN,Cruze - Petrol,,2011,,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0605,HOLDEN,Cruze - Diesel,,2011,,,,,,MF77HR,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0606,HOLDEN,Epica - Petrol,,2007,2011,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0607,HOLDEN,Epica - Diesel,,2007,2011,,,,,MF77HR,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0608,HOLDEN,Equinox,,2017,,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0609,HOLDEN,Frontera - V6,,1999,2003,,,,,MF80D26L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0610,HOLDEN,Holden All Models (Kingswood etc),,1956,1980,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0611,HOLDEN,Gemini - RB,,1983,1987,,,,,MF40B20L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0612,HOLDEN,Gemini - Petrol,,1975,1983,,,,,MF40B20ZA,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0613,HOLDEN,Gemini - Diesel,,1979,1983,,,,,MF52,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0614,HOLDEN,Insignia,,2015,,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0615,HOLDEN,Jackaroo - Diesel,,1981,1992,,,,,MF95D31R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0616,HOLDEN,Jackaroo - Diesel,,1992,1999,,,,,MF80D26R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0617,HOLDEN,Jackaroo - Petrol,,1981,1991,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0618,HOLDEN,Jackaroo - Petrol,,1991,1998,,,,,MF52,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0619,HOLDEN,Jackaroo - Petrol,,1998,2004,,,,,MF80D26R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0620,HOLDEN,Jackaroo SE 3 Turbo Diesel,,1999,,,,,,MF75D23R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0621,HOLDEN,Jackaroo Turbo Diesel,,2000,,,,,,MF75D23R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0622,HOLDEN,Kingswood,,1969,1985,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0623,HOLDEN,Malibu Diesel,,2013,,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0624,HOLDEN,Malibu Petrol,,2013,,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0625,HOLDEN,"Monaro - CV8, CV8-R",,2001,,,,,,MF53,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0626,HOLDEN,Nova - LF,,1989,1994,,,,,MF43,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0627,HOLDEN,Nova - LG,,1994,1996,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0628,HOLDEN,Rodeo - Petrol,,2005,2008,,,,,MF80D26L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0629,HOLDEN,Rodeo - Petrol,,2003,2005,,,,,MF75D23R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0630,HOLDEN,Rodeo - Petrol,,1998,2003,,,,,MF80D26L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0631,HOLDEN,Rodeo - Petrol,,1988,1998,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0632,HOLDEN,Rodeo - Petrol,,1978,1988,,,,,MF43,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0633,HOLDEN,Rodeo - Diesel,,2003,,,,,,MF95D31L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0634,HOLDEN,Rodeo - Diesel,,1981,2003,,,,,MF95D31R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0635,HOLDEN,Sintra,,2011,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0636,HOLDEN,"Suburban 15 - LS, LT",,1998,,,,,,MF78DT,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0637,HOLDEN,"Suburban 25 - LS, LT",,1998,,,,,,MF52,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0638,HOLDEN,Tigra,,2005,2005,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0639,HOLDEN,Trailblazer,,2016,,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0640,HOLDEN,Trax TJ 1.8 Petrol,,2013,,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0641,HOLDEN,Trax TJ 1.4 Petrol,,2014,,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0642,HOLDEN,Utility,,1980,1985,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0643,HOLDEN,Vectra - 3.2L V6,,2003,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0644,HOLDEN,Vectra - 2.5L V6,,1999,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0645,HOLDEN,Vectra - 4Cyl,,1999,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0646,HOLDEN,"Vectra, 2.2L 4Cyl Petrol (Australian)",,1998,1999,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0647,HOLDEN,Viva,,2005,,,,,,MF50,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0648,HOLDEN,Volt EV 1.4i 111kW,,2012,2014,,,,,MF55HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0649,HOLDEN,Za!ra - MPV,,2001,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
